,Daerah
1,Johor Bahru
2,Batu Pahat
3,Kluang
4,Kulai
5,Muar
6,Kota Tinggi
7,Segamat
8,Pontian
9,Tangkak
10,Mersing
13,Sungai Petani
14,Alor Setar
15,Kulim
16,Kubang Pasu
17,Baling
18,Pendang
19,Langkawi
20,Yan
21,Sik
22,Padang Terap
23,Pokok Sena
24,Bandar Baharu
27,Kota Bharu
28,Pasir Mas
29,Tumpat
30,Bachok
31,Tanah Merah
32,Pasir Puteh
33,Kuala Krai
34,Machang
35,Gua Musang
36,Jeli
37,Lojing
40,Melaka Tengah
41,Alor Gajah
42,Jasin
45,Seremban
46,Jempol
47,Port Dickson
48,Tampin
49,Kuala Pilah
50,Rembau
51,Jelebu
54,Kuantan
55,Temerloh
56,Bentong
57,Maran
58,Rompin
59,Pekan
60,Bera
61,Raub
62,Jerantut
63,Lipis
64,Cameron Highlands
67,Kinta
68,"Larut, Matang dan Selama"
69,Manjung
70,Hilir Perak
71,Kerian
72,Batang Padang
73,Kuala Kangsar
74,Perak Tengah
75,Hulu Perak
76,Kampar
77,Muallim
78,Bagan Datuk
81,Perlis
83,Timur Laut Pulau Pinang
84,Seberang Perai Tengah
85,Seberang Perai Utara
86,Barat Daya Pulau Pinang
87,Seberang Perai Selatan
90,Kota Kinabalu
91,Tawau
92,Sandakan
93,Lahad Datu
94,Keningau
95,Kinabatangan
96,Semporna
97,Papar
98,Penampang
99,Beluran
100,Tuaran
101,Ranau
102,Kota Belud
103,Kudat
104,Kota Marudu
105,Beaufort
106,Kunak
107,Tenom
108,Putatan
109,Pitas
110,Tambunan
111,Tongod
112,Sipitang
113,Nabawan
114,Kuala Penyu
117,Kuching
118,Miri
119,Sibu
120,Bintulu
121,Serian
122,Kota Samarahan
123,Sri Aman
124,Marudi
125,Betong
126,Sarikei
127,Kapit
128,Bau
129,Limbang
130,Saratok
131,Mukah
132,Simunjan
133,Lawas
134,Belaga
135,Lundu
136,Asajaya
137,Daro
138,Tatau
139,Maradong
140,Kanowit
141,Lubok Antu
142,Selangau
143,Song
144,Dalat
145,Matu
146,Julau
147,Pakan
148,Tanjung Manis
149,Bukit Mabong
150,Telang Usan
151,Tebedu
152,Subis
153,Sebauh
154,Marudi
155,Beluru
156,Kabong
157,Gedong
158,Siburan
159,Pantu
160,Lingga
161,Sebuyau
164,Petaling
165,Hulu Langat
166,Klang
167,Gombak
168,Kuala Langat
169,Sepang
170,Kuala Selangor
171,Hulu Selangor
172,Sabak Bernam
175,Kuala Terengganu
176,Kemaman
177,Dungun
178,Besut
179,Marang
180,Hulu Terengganu
181,Setiu
182,Kuala Nerus
185,Kuala Lumpur
186,Labuan
187,Putrajaya
